volume[1].sp_lo,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02,   4.800000E+02
volume[1].err_hi, 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
volume[1].err_lo, 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
volume[1].bias, 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
volume[1].bcv,   2.690000E+02,   2.861970E+02,   3.030503E+02,   3.195758E+02,   3.357878E+02,   3.670444E+02,   3.972202E+02,   4.263896E+02,   4.326646E+02,   4.387359E+02,   4.446115E+02,   4.502989E+02,   4.558052E+02,   4.643492E+02,   4.692468E+02,   4.738477E+02,   4.781713E+02,   4.822352E+02,   4.910037E+02,   4.985801E+02,   5.051328E+02,   5.108046E+02,   5.157175E+02,   5.199754E+02
volume[1].wsp_hi,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01
volume[1].wsp_lo,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01,   2.000000E+01
volume[1].cost, 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
volume[2].tau,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01
volume[2].tr_hi,   2.890000E+02,   3.146667E+02,   3.374815E+02,   3.577613E+02,   3.757878E+02,   4.046303E+02,   4.277042E+02,   4.461634E+02,   4.609307E+02,   4.727446E+02,   4.821956E+02,   4.897565E+02,   4.958052E+02,   5.038701E+02,   5.092468E+02,   5.128312E+02,   5.152208E+02,   5.168139E+02,   5.185839E+02,   5.193706E+02,   5.197203E+02,   5.198757E+02,   5.199447E+02,   5.199754E+02
